Year	Age	Count	Democrat	Republican	Unenrolled	Other
200512	17	15	8	0	7	0
200512	18	131	45	6	80	0
200512	19	259	104	16	136	3
200512	20	254	90	12	150	2
200512	21	294	95	15	183	1
200512	22	275	91	11	168	5
200512	23	282	96	18	163	5
200512	24	300	116	25	155	4
200512	25	310	116	22	168	4
200512	26	386	147	38	189	12
200512	27	424	156	36	223	9
200512	28	433	164	56	202	11
200512	29	479	163	64	242	10
200512	30	489	191	59	226	13
200512	31	511	209	55	240	7
200512	32	506	210	39	248	9
200512	33	537	221	54	255	7
200512	34	552	240	52	253	7
200512	35	576	263	60	246	7
200512	36	638	271	76	279	12
200512	37	568	230	59	275	4
200512	38	603	275	56	265	7
200512	39	592	287	51	249	5
200512	40	562	268	50	240	4
200512	41	712	356	75	277	4
200512	42	667	321	56	287	3
200512	43	643	299	59	276	9
200512	44	597	272	55	264	6
200512	45	640	334	53	245	8
200512	46	607	301	51	252	3
200512	47	594	309	43	240	2
200512	48	554	296	36	219	3
200512	49	596	331	53	210	2
200512	50	583	333	41	205	4
200512	51	578	321	36	218	3
200512	52	557	320	35	196	6
200512	53	522	276	42	203	1
200512	54	544	297	37	209	1
200512	55	463	279	31	152	1
200512	56	542	301	36	204	1
200512	57	513	299	31	183	0
200512	58	524	286	37	200	1
200512	59	479	263	44	170	2
200512	60	360	200	30	129	1
200512	61	378	190	37	149	2
200512	62	366	211	33	121	1
200512	63	337	181	23	132	1
200512	64	297	157	27	112	1
200512	65	260	141	30	88	1
200512	66	278	158	22	97	1
200512	67	279	161	28	89	1
200512	68	239	143	18	78	0
200512	69	298	164	25	109	0
200512	70	291	158	32	101	0
200512	71	274	156	33	85	0
200512	72	263	158	28	77	0
200512	73	273	162	21	88	2
200512	74	257	151	23	83	0
200512	75	277	159	35	83	0
200512	76	268	164	28	76	0
200512	77	282	148	34	100	0
200512	78	275	146	36	92	1
200512	79	263	155	30	78	0
200512	80	256	149	42	63	2
200512	81	236	137	34	65	0
200512	82	231	126	31	74	0
200512	83	180	97	36	47	0
200512	84	207	145	27	35	0
200512	85	162	100	22	40	0
200512	86	142	84	28	29	1
200512	87	114	76	16	22	0
200512	88	109	66	20	23	0
200512	89	83	47	14	22	0
200512	90	90	46	16	28	0
200512	91	69	43	17	9	0
200512	92	37	21	5	11	0
200512	93	41	27	6	8	0
200512	94	40	25	8	7	0
200512	95	29	12	8	8	1
200512	96	17	10	4	3	0
200512	97	14	9	2	3	0
200512	98	12	9	3	0	0
200512	99	7	5	2	0	0
200512	100	4	3	1	0	0
200711	18	133	53	10	67	3
200711	19	199	68	10	119	2
200711	20	213	86	10	117	0
200711	21	277	112	22	141	2
200711	22	286	110	12	163	1
200711	23	273	85	13	174	1
200711	24	274	91	15	162	6
200711	25	293	100	22	169	2
200711	26	319	118	26	174	1
200711	27	324	135	25	162	2
200711	28	427	174	43	201	9
200711	29	433	164	37	226	6
200711	30	451	175	54	213	9
200711	31	478	184	46	241	7
200711	32	482	185	55	232	10
200711	33	498	215	50	229	4
200711	34	497	208	35	245	9
200711	35	522	227	48	242	5
200711	36	539	242	45	249	3
200711	37	557	247	61	242	7
200711	38	603	276	60	256	11
200711	39	559	228	47	279	5
200711	40	562	258	44	254	6
200711	41	588	281	44	260	3
200711	42	579	278	47	249	5
200711	43	684	332	74	274	4
200711	44	640	310	56	273	1
200711	45	630	299	47	278	6
200711	46	573	258	47	264	4
200711	47	627	317	51	253	6
200711	48	602	286	44	270	2
200711	49	583	293	44	244	2
200711	50	541	295	34	208	4
200711	51	580	322	46	208	4
200711	52	584	331	42	207	4
200711	53	567	318	34	213	2
200711	54	547	303	31	209	4
200711	55	508	270	32	205	1
200711	56	553	300	32	219	2
200711	57	438	263	33	140	2
200711	58	514	282	33	198	1
200711	59	501	285	30	184	2
200711	60	503	271	31	200	1
200711	61	448	246	41	161	0
200711	62	349	201	28	119	1
200711	63	366	178	29	157	2
200711	64	365	211	31	122	1
200711	65	313	164	22	126	1
200711	66	284	146	25	112	1
200711	67	248	125	26	96	1
200711	68	256	147	17	91	1
200711	69	267	144	27	96	0
200711	70	232	138	16	78	0
200711	71	275	150	22	103	0
200711	72	274	153	24	97	0
200711	73	261	147	30	84	0
200711	74	234	129	25	80	0
200711	75	252	150	16	85	1
200711	76	241	141	18	82	0
200711	77	251	141	27	83	0
200711	78	247	149	22	76	0
200711	79	258	134	27	97	0
200711	80	256	139	28	88	1
200711	81	226	136	29	61	0
200711	82	228	130	37	60	1
200711	83	215	124	34	57	0
200711	84	204	110	25	69	0
200711	85	161	85	35	41	0
200711	86	170	119	20	31	0
200711	87	130	79	15	36	0
200711	88	118	65	23	30	0
200711	89	83	54	9	20	0
200711	90	78	49	14	15	0
200711	91	59	33	10	16	0
200711	92	68	38	8	22	0
200711	93	48	29	12	7	0
200711	94	21	10	3	8	0
200711	95	29	19	5	5	0
200711	96	25	15	5	5	0
200711	97	14	7	4	2	1
200711	98	12	6	4	2	0
200711	99	11	7	2	2	0
200711	100	6	4	2	0	0
200810	17	3	0	0	3	0
200810	18	269	95	15	158	1
200810	19	278	101	16	157	4
200810	20	281	109	10	161	1
