Year	variable	value
200407	Unenrolled	10980
200512	Unenrolled	11516
200602	Unenrolled	10693
200610	Unenrolled	11426
200702	Unenrolled	11394
200711	Unenrolled	11635
200801	Unenrolled	11965
200802	Unenrolled	12200
200912	Unenrolled	13035
201201	Unenrolled	12991
201402	Unenrolled	14240
201408	Unenrolled	14314
201412	Unenrolled	14098
201506	Unenrolled	14028
201511	Unenrolled	14139
201605	Unenrolled	14438
201612	Unenrolled	14711
201707	Unenrolled	14664
201801	Unenrolled	14720
201806	Unenrolled	14689
201901	Unenrolled	15055
201907	Unenrolled	15125
201912	Unenrolled	15369
202006	Unenrolled	15688
202012	Unenrolled	15969
202106	Unenrolled	15911
202112	Unenrolled	16135
202202	Unenrolled	16205
202203	Unenrolled	16299
200407	Other	232
200512	Other	224
200602	Other	190
200610	Other	193
200702	Other	178
200711	Other	183
200801	Other	172
200802	Other	167
200912	Other	142
201201	Other	130
201402	Other	114
201408	Other	113
201412	Other	109
201506	Other	131
201511	Other	172
201605	Other	181
201612	Other	245
201707	Other	244
201801	Other	247
201806	Other	233
201901	Other	238
201907	Other	240
201912	Other	254
202006	Other	242
202012	Other	230
202106	Other	225
202112	Other	232
202202	Other	235
202203	Other	237
200407	Democrat	14279
200512	Democrat	14350
200602	Democrat	13479
200610	Democrat	13909
200702	Democrat	13740
200711	Democrat	13887
200801	Democrat	14118
200802	Democrat	14127
200912	Democrat	14526
201201	Democrat	13693
201402	Democrat	14031
201408	Democrat	14030
201412	Democrat	13787
201506	Democrat	13707
201511	Democrat	13886
201605	Democrat	14180
201612	Democrat	14338
201707	Democrat	14161
201801	Democrat	14027
201806	Democrat	13851
201901	Democrat	14163
201907	Democrat	14154
201912	Democrat	14269
202006	Democrat	14610
202012	Democrat	14655
202106	Democrat	14432
202112	Democrat	14262
202202	Democrat	14243
202203	Democrat	14245
200407	Republican	2784
200512	Republican	2696
200602	Republican	2480
200610	Republican	2472
200702	Republican	2422
200711	Republican	2419
200801	Republican	2415
200802	Republican	2393
200912	Republican	2278
201201	Republican	2139
201402	Republican	2052
201408	Republican	2025
201412	Republican	1948
201506	Republican	1951
201511	Republican	1949
201605	Republican	1977
201612	Republican	1868
201707	Republican	1807
201801	Republican	1762
201806	Republican	1685
201901	Republican	1672
201907	Republican	1642
201912	Republican	1630
202006	Republican	1573
202012	Republican	1520
202106	Republican	1445
202112	Republican	1400
202202	Republican	1396
202203	Republican	1388
