name	rank_200407	rank_202203	count_200407	count_202203
SMITH	2.0	1.0	141.0	152.0
SULLIVAN	1.0	2.0	164.0	131.0
MURPHY	3.0	3.0	125.0	106.0
LEE	13.0	4.0	63.0	104.0
JOHNSON	4.0	5.0	90.0	86.0
MARTIN	11.0	6.0	65.0	75.0
BROWN	12.0	7.0	64.0	72.0
KELLY	5.0	8.0	83.0	68.0
MILLER	8.0	9.0	69.0	64.0
ANDERSON	16.0	10.0	58.0	61.0
O'BRIEN	6.0	11.0	73.0	60.0
WHITE	18.0	12.0	50.0	59.0
JONES	10.0	13.0	65.0	59.0
WALSH	7.0	14.0	73.0	51.0
MCCARTHY	14.0	15.0	61.0	49.0
THOMAS	96.0	16.0	24.0	48.0
COLLINS	33.0	17.0	40.0	46.0
CHEN	223.0	18.0	14.0	46.0
LEWIS	36.0	19.0	39.0	45.0
WILLIAMS	17.0	20.0	55.0	44.0
KIM	256.0	21.0	13.0	44.0
O'CONNOR	27.0	22.0	45.0	44.0
KING	65.0	23.0	30.0	43.0
DOHERTY	9.0	24.0	67.0	43.0
CAMPBELL	31.0	25.0	41.0	42.0
THOMPSON	26.0	26.0	45.0	41.0
LYNCH	25.0	27.0	46.0	41.0
GRIFFIN	55.0	28.0	32.0	41.0
HARRIS	44.0	29.0	36.0	40.0
HARRINGTON	23.0	30.0	47.0	40.0
WILSON	45.0	31.0	36.0	39.0
TAYLOR	58.0	32.0	32.0	39.0
BURKE	24.0	33.0	46.0	39.0
MURRAY	19.0	34.0	50.0	38.0
DAVIS	29.0	35.0	43.0	38.0
CROWLEY	50.0	36.0	34.0	38.0
COHEN	80.0	37.0	27.0	37.0
SHEEHAN	47.0	38.0	35.0	37.0
FITZGERALD	20.0	39.0	49.0	36.0
MACDONALD	71.0	40.0	29.0	36.0
ALLEN	46.0	41.0	35.0	36.0
WONG	271.0	42.0	12.0	35.0
GALLAGHER	39.0	43.0	37.0	34.0
RUSSELL	59.0	44.0	32.0	34.0
FOLEY	22.0	45.0	48.0	34.0
WRIGHT	40.0	46.0	37.0	34.0
BENNETT	97.0	47.0	23.0	34.0
BARRY	89.0	48.0	25.0	34.0
CLARK	52.0	49.0	33.0	34.0
MOORE	82.0	50.0	26.0	33.0
BROOKS	42.0	51.0	36.0	33.0
KELLEY	37.0	52.0	39.0	32.0
POWERS	32.0	53.0	41.0	32.0
FLYNN	34.0	54.0	40.0	32.0
HALL	43.0	55.0	36.0	31.0
DONOVAN	21.0	56.0	49.0	31.0
SHEA	49.0	57.0	34.0	31.0
MCDONALD	112.0	58.0	22.0	30.0
ROGERS	87.0	59.0	26.0	30.0
DOYLE	35.0	60.0	39.0	30.0
PETERSON	152.0	61.0	18.0	30.0
SINGH	552.0	62.0	7.0	29.0
WANG	598.0	63.0	7.0	29.0
GREEN	218.0	64.0	14.0	29.0
HAYES	77.0	65.0	27.0	29.0
MAHONEY	15.0	66.0	59.0	29.0
ROBERTS	81.0	67.0	27.0	28.0
QUINN	217.0	68.0	15.0	28.0
BRENNAN	67.0	69.0	29.0	28.0
YOUNG	76.0	70.0	28.0	28.0
RYAN	30.0	71.0	41.0	28.0
JACKSON	121.0	72.0	21.0	28.0
BAKER	74.0	73.0	28.0	28.0
HARRISON	175.0	74.0	17.0	28.0
SILVA	85.0	75.0	26.0	27.0
SWEENEY	63.0	76.0	31.0	27.0
ROBINSON	86.0	77.0	26.0	27.0
SCOTT	122.0	78.0	21.0	27.0
LYONS	125.0	79.0	21.0	27.0
WOOD	162.0	80.0	17.0	26.0
O'ROURKE	78.0	81.0	27.0	26.0
DUFFY	119.0	82.0	21.0	26.0
CURRAN	184.0	83.0	16.0	26.0
LIN	776.0	84.0	6.0	26.0
MALONE	141.0	85.0	19.0	26.0
CARNEY	83.0	86.0	26.0	26.0
MCLAUGHLIN	51.0	87.0	33.0	26.0
BARRETT	140.0	88.0	19.0	26.0
HUGHES	62.0	89.0	31.0	26.0
HAMILTON	134.0	90.0	20.0	26.0
ADAMS	68.0	91.0	29.0	26.0
PERRY	75.0	92.0	28.0	25.0
ROSS	336.0	93.0	11.0	25.0
LI	764.0	94.0	6.0	25.0
COOK	104.0	95.0	23.0	25.0
RICHARDSON	113.0	96.0	22.0	24.0
CONNOLLY	159.0	97.0	17.0	24.0
HOGAN	41.0	98.0	37.0	24.0
FOX	203.0	99.0	15.0	23.0
O'CONNELL	28.0	100.0	43.0	23.0
HOWARD	79.0	101.0	27.0	23.0
KENNEY	101.0	102.0	23.0	23.0
SIMMONS	120.0	103.0	21.0	23.0
KENNEDY	48.0	104.0	34.0	23.0
HART	60.0	105.0	32.0	23.0
BUCKLEY	38.0	106.0	38.0	23.0
RILEY	147.0	107.0	18.0	23.0
GREENE	92.0	108.0	25.0	23.0
CARTER	117.0	109.0	21.0	23.0
REILLY	88.0	110.0	25.0	22.0
GORDON	178.0	111.0	17.0	22.0
SCHWARTZ	177.0	112.0	17.0	22.0
HUANG	1243.0	113.0	4.0	22.0
DONNELLY	91.0	114.0	25.0	22.0
REYNOLDS	213.0	115.0	15.0	22.0
FORD	197.0	116.0	16.0	22.0
COOPER	150.0	117.0	18.0	22.0
MITCHELL	107.0	118.0	22.0	22.0
ROSE	187.0	119.0	16.0	22.0
GILBERT	245.0	120.0	13.0	22.0
NELSON	146.0	121.0	18.0	22.0
CALLAHAN	111.0	122.0	22.0	21.0
CHIN	181.0	123.0	16.0	21.0
BOUDREAU	110.0	124.0	22.0	21.0
LEVINE	292.0	125.0	12.0	21.0
MORAN	136.0	126.0	19.0	21.0
BURNS	61.0	127.0	32.0	21.0
O'NEILL	115.0	128.0	21.0	21.0
SHAW	176.0	129.0	17.0	21.0
WARD	174.0	130.0	17.0	21.0
STEWART	133.0	131.0	20.0	21.0
MCCABE	164.0	132.0	17.0	21.0
DONAHUE	193.0	133.0	16.0	20.0
CHU	479.0	134.0	8.0	20.0
CARROLL	53.0	135.0	33.0	20.0
GRAY	114.0	136.0	22.0	20.0
BOYLE	168.0	137.0	17.0	20.0
MARSHALL	138.0	138.0	19.0	20.0
CONNOR	172.0	139.0	17.0	20.0
BOWLER	259.0	140.0	13.0	20.0
HOLT	1164.0	141.0	4.0	20.0
STEVENS	190.0	142.0	16.0	20.0
FISHER	226.0	143.0	14.0	19.0
SHAPIRO	234.0	144.0	14.0	19.0
FRIEDMAN	167.0	145.0	17.0	19.0
CHAN	2352.0	146.0	3.0	19.0
GOLDSTEIN	703.0	147.0	6.0	19.0
MANSFIELD	132.0	148.0	20.0	19.0
HILL	129.0	149.0	21.0	19.0
FARRELL	198.0	150.0	16.0	19.0
MCKENNA	93.0	151.0	24.0	19.0
PHILLIPS	84.0	152.0	26.0	19.0
CONROY	109.0	153.0	22.0	19.0
BISHOP	169.0	154.0	17.0	19.0
GOULD	297.0	155.0	12.0	19.0
CUNNINGHAM	185.0	156.0	16.0	18.0
MORRIS	90.0	157.0	25.0	18.0
MASON	614.0	158.0	7.0	18.0
MORRISON	126.0	159.0	21.0	18.0
FAHEY	135.0	160.0	20.0	18.0
HURLEY	54.0	161.0	33.0	18.0
DUNN	73.0	162.0	28.0	18.0
BUTLER	105.0	163.0	22.0	18.0
KEEFE	131.0	164.0	20.0	18.0
SIMON	302.0	165.0	12.0	18.0
CARLSON	279.0	166.0	12.0	18.0
CAHILL	378.0	167.0	10.0	18.0
COSTELLO	845.0	168.0	5.0	18.0
CASEY	64.0	169.0	31.0	18.0
FLAHERTY	106.0	170.0	22.0	18.0
PALMER	127.0	171.0	21.0	17.0
DAY	291.0	172.0	12.0	17.0
RUSSO	229.0	173.0	14.0	17.0
PACHECO	100.0	174.0	23.0	17.0
BRADLEY	94.0	175.0	24.0	17.0
ELLIS	204.0	176.0	15.0	17.0
ROSSI	183.0	177.0	16.0	17.0
CARPENTER	435.0	178.0	9.0	17.0
COLEMAN	196.0	179.0	16.0	17.0
WALLACE	189.0	180.0	16.0	17.0
FLANAGAN	227.0	181.0	14.0	17.0
COUGHLIN	214.0	182.0	15.0	17.0
BELL	324.0	183.0	11.0	17.0
EVANS	332.0	184.0	11.0	17.0
BYRNE	99.0	185.0	23.0	17.0
SOUSA	98.0	186.0	23.0	17.0
FALLON	276.0	187.0	12.0	17.0
WALKER	191.0	188.0	16.0	17.0
ALEXANDER	413.0	189.0	9.0	17.0
FOSTER	240.0	190.0	13.0	17.0
JACOBS	404.0	191.0	9.0	17.0
O'DONNELL	186.0	192.0	16.0	16.0
EDWARDS	344.0	193.0	11.0	16.0
JOHNSTON	345.0	194.0	11.0	16.0
DRISCOLL	70.0	195.0	29.0	16.0
SIEGEL	439.0	196.0	9.0	16.0
CHANG	635.0	197.0	7.0	16.0
FISCHER	300.0	198.0	12.0	16.0
PARK	5220.0	199.0	1.0	16.0
WEBER	309.0	200.0	11.0	16.0
KLEIN	421.0	201.0	9.0	16.0
CUMMINGS	102.0	202.0	23.0	16.0
HICKEY	471.0	203.0	8.0	16.0
