start_date	end_date	start_only	end_only	both	start_count	end_count
20040713	20220311	18034	21933	10249	28283	32182
20040713	20051202	3373	3890	24910	28283	28800
20051202	20060224	2238	294	26562	28800	26856
20060224	20061018	837	1993	26019	26856	28012
20061018	20070215	876	611	27136	28012	27747
20070215	20071120	779	1171	26968	27747	28139
20071120	20080116	383	930	27756	28139	28686
20080116	20080219	83	300	28603	28686	28903
20080219	20091230	3443	4549	25460	28903	30009
20091230	20120117	4937	3905	25072	30009	28977
20120117	20140224	4046	5520	24931	28977	30451
20140224	20140827	845	889	29606	30451	30495
20140827	20141201	1489	943	29006	30495	29949
20141201	20150619	926	801	29023	29949	29824
20150619	20151125	745	1076	29079	29824	30155
20151125	20160525	1765	2396	28390	30155	30786
20160525	20161205	2703	3088	28083	30786	31171
20161205	20170704	1230	943	29941	31171	30884
20170704	20180108	1214	1094	29670	30884	30764
20180108	20180628	1268	970	29496	30764	30466
20180628	20190107	1532	2203	28934	30466	31137
20190107	20190709	977	1011	30160	31137	31171
20190709	20191226	711	1070	30460	31171	31530
20191226	20200629	1127	1721	30403	31530	32124
20200629	20201223	2243	2505	29881	32124	32386
20201223	20210630	1356	995	31030	32386	32025
20210630	20211230	1203	1220	30822	32025	32042
20211230	20220201	142	191	31900	32042	32091
20220201	20220311	175	266	31916	32091	32182
