Year	Age	Count
200801	18	111
200801	19	179
200801	20	224
200801	21	270
200801	22	285
200801	23	258
200801	24	286
200801	25	278
200801	26	326
200801	27	325
200801	28	399
200801	29	445
200801	30	430
200801	31	501
200801	32	482
200801	33	487
200801	34	493
200801	35	505
200801	36	545
200801	37	553
200801	38	612
200801	39	544
200801	40	560
200801	41	588
200801	42	579
200801	43	676
200801	44	650
200801	45	616
200801	46	600
200801	47	620
200801	48	590
200801	49	591
200801	50	564
200801	51	561
200801	52	567
200801	53	602
200801	54	537
200801	55	513
200801	56	533
200801	57	480
200801	58	493
200801	59	504
200801	60	486
200801	61	482
200801	62	347
200801	63	371
200801	64	362
200801	65	320
200801	66	285
200801	67	262
200801	68	251
200801	69	259
200801	70	241
200801	71	286
200801	72	261
200801	73	251
200801	74	249
200801	75	248
200801	76	245
200801	77	252
200801	78	249
200801	79	254
200801	80	256
200801	81	234
200801	82	224
200801	83	212
200801	84	204
200801	85	166
200801	86	169
200801	87	137
200801	88	129
200801	89	89
200801	90	75
200801	91	65
200801	92	64
200801	93	52
200801	94	23
200801	95	28
200801	96	28
200801	97	14
200801	98	13
200801	99	11
200801	100	7
201503	17	338
201503	18	364
201503	19	373
201503	20	332
201503	21	374
201503	22	384
201503	23	368
201503	24	393
201503	25	415
201503	26	400
201503	27	421
201503	28	436
201503	29	482
201503	30	526
201503	31	514
201503	32	591
201503	33	635
201503	34	642
201503	35	613
201503	36	678
201503	37	683
201503	38	706
201503	39	664
201503	40	646
201503	41	628
201503	42	611
201503	43	614
201503	44	606
201503	45	637
201503	46	636
201503	47	572
201503	48	622
201503	49	614
201503	50	646
201503	51	660
201503	52	631
201503	53	601
201503	54	598
201503	55	595
201503	56	570
201503	57	558
201503	58	576
201503	59	573
201503	60	593
201503	61	531
201503	62	496
201503	63	514
201503	64	468
201503	65	444
201503	66	482
201503	67	473
201503	68	445
201503	69	305
201503	70	320
201503	71	348
201503	72	324
201503	73	256
201503	74	223
201503	75	234
201503	76	229
201503	77	228
201503	78	248
201503	79	211
201503	80	180
201503	81	207
201503	82	199
201503	83	192
201503	84	174
201503	85	171
201503	86	180
201503	87	141
201503	88	144
201503	89	122
201503	90	96
201503	91	99
201503	92	62
201503	93	59
201503	94	52
201503	95	28
201503	96	21
201503	97	12
201503	98	8
201503	99	11
201503	100	7
